央视频道,#genre#
CCTV1,http://182.104.129.23/PLTV/88888888/224/3221225699/iptv8040.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-cctv1/index.m3u8$江西移动
CCTV2,http://182.104.129.23/PLTV/88888888/224/3221226825/59814584.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-cctv2/index.m3u8$江西移动
CCTV3,rtsp://182.104.129.23:554/PLTV/88888888/224/3221226841/63329606.smil?fmt=ts2hls$江西电信#rtsp://118.212.169.134/PLTV/88888888/224/3221227255/10000100000000060000000000746031_0.smil$江西联通
CCTV4,http://182.104.129.23/PLTV/88888888/224/3221226838/59814684.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/cctv-4/index.m3u8$江西移动
CCTV5,rtsp://182.104.129.23:554/PLTV/88888888/224/3221226907/65396401.smil?fmt=ts2hls$江西电信#rtsp://118.212.169.134/PLTV/88888888/224/3221227264/10000100000000060000000000746032_0.smil$江西联通#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-cctv5/index.m3u8$江西移动
CCTV5+,rtsp://118.212.169.134/PLTV/88888888/224/3221227270/10000100000000060000000001635911_0.smil$江西联通#rtsp://182.104.129.23/PLTV/88888888/224/3221226976/85722488.smil?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/hdcctv05plus/index.m3u8$江西移动
CCTV6,rtsp://182.104.129.23:554/PLTV/88888888/224/3221226843/63329570.smil?fmt=ts2hls$江西电信#rtsp://118.212.169.134/PLTV/88888888/224/3221227266/10000100000000060000000000746033_0.smil$江西联通#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-cctv6/index.m3u8$江西移动
CCTV7,http://182.104.129.23/PLTV/88888888/224/3221226827/59814693.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-cctv7/index.m3u8$江西移动
CCTV8,rtsp://182.104.129.23:554/PLTV/88888888/224/3221226854/63329578.smil?fmt=ts2hls$江西电信#rtsp://118.212.169.134/PLTV/88888888/224/3221227257/10000100000000060000000000746034_0.smil$江西联通#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-cctv8/index.m3u8$江西移动
CCTV9,http://182.104.129.23/PLTV/88888888/224/3221226840/59814699.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-cctv9/index.m3u8$江西移动
CCTV10,http://182.104.129.23/PLTV/88888888/224/3221226630/51813372.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-cctv10/index.m3u8$江西移动
CCTV11,http://10.231.253.152/PLTV/88888888/224/3221226986/85722616.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/cctv-11/index.m3u8$江西移动
CCTV12,http://182.104.129.23/PLTV/88888888/224/3221226829/59814709.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-cctv12/index.m3u8$江西移动
CCTV13,http://182.104.129.23/PLTV/88888888/224/3221227037/87447722.smil/index.m3u8?fmt=ts2hls$江西电信#http://tv.91kds.cc/dl1/aishang.m3u8?id=cctv13hd&apikey=YTch4MDkyM0aY2MDY5M0RDNzY2MEI4N0FFRjNDNzcbyNThFMDE2RTdDRTAxNkU3Qw==$爱上#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/cctv-13/index.m3u8$江西移动
CCTV14,http://182.104.129.23/PLTV/88888888/224/3221226634/51813368.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/cctv-14/index.m3u8$江西移动
CCTV15,http://10.231.253.152/PLTV/88888888/224/3221226988/85722541.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/cctv-15/index.m3u8$江西移动
CCTV16,rtsp://118.212.169.134/PLTV/88888888/224/3221227265/10000100000000060000000001629537_0.smil$江西联通#rtsp://182.104.129.23/PLTV/88888888/224/3221227051/92603106.smil$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-4000k-1080P-cctv16/index.m3u8$江西移动
CCTV17,http://182.104.129.23/PLTV/88888888/224/3221226846/61397282.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::405]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-cctv17/index.m3u8$江西移动
CCTV4K,http://182.104.129.23/PLTV/88888888/224/3221227073/106537394.smil/index.m3u8?fmt=ts2hls$江西电信
CETV1,http://182.104.129.23/PLTV/88888888/224/3221226858/63768493.smil/index.m3u8?fmt=ts2hls$江西电信
CETV4,http://182.104.129.23/PLTV/88888888/224/3221226905/65242632.smil/index.m3u8?fmt=ts2hls
CCTV4欧洲,http://182.104.129.23/PLTV/88888888/224/3221226964/77799053.smil/index.m3u8?fmt=ts2hls
CCTV4美洲,http://182.104.129.23/PLTV/88888888/224/3221226962/77799052.smil/index.m3u8?fmt=ts2hls
兵器科技,http://10.231.253.152/PLTV/88888888/224/3221227004/86132185.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:6a01:1020::c]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226111/1/index.m3u8?fmt=ts2hls
第一剧场,http://10.231.253.152/PLTV/88888888/224/3221226961/86128891.smil/index.m3u8?fmt=ts2hls$江西电信
怀旧剧场,http://10.231.253.152/PLTV/88888888/224/3221226996/86128881.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:6a01:1020::c]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226097/1/index.m3u8?fmt=ts2hls
风云剧场,http://10.231.253.152/PLTV/88888888/224/3221226963/86128874.smil/index.m3u8?fmt=ts2hls$江西电信
风云足球,http://10.231.253.152/PLTV/88888888/224/3221227000/86128919.smil/index.m3u8?fmt=ts2hls$江西电信
风云音乐,http://10.231.253.152/PLTV/88888888/224/3221226994/86128897.smil/index.m3u8?fmt=ts2hls$江西电信
世界地理,http://10.231.253.152/PLTV/88888888/224/3221226965/86128966.smil/index.m3u8?fmt=ts2hls$江西电信
高尔夫网球,http://10.231.253.152/PLTV/88888888/224/3221226967/86128985.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:6a01:1020::c]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226114/1/index.m3u8?fmt=ts2hls
央视精品,http://10.231.253.152/PLTV/88888888/224/3221226957/86128679.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:6a01:1020::d]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226100/1/index.m3u8?fmt=ts2hls
央视台球,http://10.231.253.152/PLTV/88888888/224/3221226955/86106661.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:6a01:1020::c]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226117/1/index.m3u8?fmt=ts2hls
女性时尚,http://10.231.253.152/PLTV/88888888/224/3221226998/86128978.smil/index.m3u8?fmt=ts2hls$江西电信
电视指南,http://10.231.253.152/PLTV/88888888/224/3221226969/86129034.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:6a01:1020::105]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226120/1/index.m3u8?fmt=ts2hls#migu://606889139
CGTN,rtsp://115.153.254.81/PLTV/88888888/224/3221226694/55738457.smil$江西电信
CGTN英语,rtsp://115.153.254.81/PLTV/88888888/224/3221226947/77798966.smil$江西电信
CGTN法语,rtsp://115.153.254.81/PLTV/88888888/224/3221226968/77799060.smil$江西电信
CGTN俄语,rtsp://115.153.254.81/PLTV/88888888/224/3221226966/77798997.smil$江西电信
CGTN阿语,rtsp://115.153.254.81/PLTV/88888888/224/3221226951/77799001.smil$江西电信
CGTN纪录,rtsp://115.153.254.81/PLTV/88888888/224/3221226960/77798993.smil$江西电信
中学生,migu://708869532#http://10.231.253.152/PLTV/88888888/224/3221226813/59781751.smil/index.m3u8?fmt=ts2hls/index.m3u8?fmt=ts2hls
老故事,http://182.104.129.23/PLTV/88888888/224/3221226816/59781822.smil/index.m3u8?fmt=ts2hls#http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001315/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西ipv6

卫视频道,#genre#
湖南卫视,http://182.104.129.23/PLTV/88888888/224/3221225697/iptv8039.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-hunanstv/index.m3u8$江西移动
浙江卫视,http://182.104.129.23/PLTV/88888888/224/3221225768/10000100000000060000000000913518_0.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-zhejiangstv/index.m3u8$江西移动
江苏卫视,http://182.104.129.23/PLTV/88888888/224/3221225766/10000100000000060000000000913517_0.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-jiangsustv/index.m3u8$江西移动
东方卫视,http://182.104.129.23/PLTV/88888888/224/3221225770/10000100000000060000000000913526_0.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-dongfangstv/index.m3u8$江西移动
安徽卫视,http://182.104.129.23/PLTV/88888888/224/3221226622/51176344.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-anhuistv/index.m3u8$江西移动
山东卫视,http://182.104.129.23/PLTV/88888888/224/3221225919/10000100000000060000000000811554_0.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-shangdongstv/index.m3u8$江西移动
北京卫视,http://182.104.129.23/PLTV/88888888/224/3221225546/iptv51912.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-beijingstv/index.m3u8$江西移动
深圳卫视,http://182.104.129.23/PLTV/88888888/224/3221225764/10000100000000060000000000913503_0.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-shenzhenstv/index.m3u8$江西移动
江西卫视,http://182.104.129.23/PLTV/88888888/224/3221226656/46275837.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-jiangxistv/index.m3u8$江西移动
广东卫视,http://182.104.129.23/PLTV/88888888/224/3221225957/10000100000000060000000000913519_0.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-guangdongstv/index.m3u8$江西移动
天津卫视,http://182.104.129.23/PLTV/88888888/224/3221226652/46098366.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-tianjinstv/index.m3u8$江西移动
